[397785000] ID:107 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000186023e02b7fca1fcc1fcc9
[397795000] ID:108 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000018e024602bffca1fcb9fcc1
[397805000] ID:109 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000001a6024e02b7fc91fca1fca9
[397815000] ID:110 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000001c6025e02c7fcb9fcc9fcc9
[397825000] ID:111 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000001ce026e02c7fcd9fce1fce1
[397835000] ID:112 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000001ce026e02c7fcf1fce9fce9
[397845000] ID:113 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000001b6026602c7fce1fcf9fcf9
[397855000] ID:114 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000001a6025602b7fcd9fd01fd19
[397865000] ID:115 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000019e024e02affd61fdb2fdd2
[397875000] ID:116 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000019e024e02af0024008d00b5
[397885000] ID:117 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000019e024602bf015d01c601f6
[397895000] ID:118 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000019e024602bf019e01f60236
[397905000] ID:119 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000019e024602bf01b602160256
[397915000] ID:120 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000019e024602bf01b60226026e
[397925000] ID:121 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000019e024602bf01b6022e0276
[397935000] ID:122 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000018e024602bf01b6022e0276
