[2426035000] ID:141 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe8301a602affd21fd19fd29
[2426045000] ID:142 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fdca012d025efce9fce9fcf9
[2426055000] ID:143 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd4900c5021efcd9fce9fcf1
[2426065000] ID:144 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd51008d01fefcf9fd09fd11
[2426075000] ID:145 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd69006c01fefd01fd11fd19
[2426085000] ID:146 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcf9002401d6fce1fcf1fcf9
[2426095000] ID:147 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc89ffc401aefcb1fcd1fcd9
[2426105000] ID:148 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc68ff7b019efc81fca1fca9
[2426115000] ID:149 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc68ff5b0196fc78fc99fca1
[2426125000] ID:150 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc58ff430186fc78fc99fca1
[2426135000] ID:151 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50ff2b0175fc81fca1fca9
[2426145000] ID:152 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc91ff030115fc89fcb1fca9
[2426155000] ID:153 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc68fdeaff8cfca9fcb9fcb9
[2426165000] ID:154 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc20fcd1fe02fcb9fcc9fcc9
[2426175000] ID:155 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc30fc99fd82fca9fcb9fcc1
[2426185000] ID:156 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc40fca9fd61fca9fcb9fcc1
[2426195000] ID:157 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fca1fd61fca1fcb1fcb9
[2426205000] ID:158 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc60fca1fd61fc91fca1fca9
[2426215000] ID:159 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc48fcb1fd79fc81fc99fca1
[2426225000] ID:160 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc68fcf1fdd2fc81fc99fca1
[2426235000] ID:161 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fcc1fdbafc81fc91fc99
[2426245000] ID:162 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc78fd31fe52fc78fc91fc99
[2426255000] ID:163 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc81fda2fed3fc78fc99fca1
[2426265000] ID:164 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcd1fe22ff7bfc89fca9fcb1
[2426275000] ID:165 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcf9fe42ff94fc99fcb9fcc1
[2426285000] ID:166 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc78fd61fea3fca9fcc9fcd1
[2426295000] ID:167 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc60fd31fe52fca9fcc9fcd1
[2426305000] ID:168 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc48fd19fe32fcc9fcf1fcf9
[2426315000] ID:169 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc81fd51fe6afcf1fd09fd21
[2426325000] ID:170 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc58fcc1fd8afce1fcf9fd19
[2426335000] ID:171 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc70fca1fd69fcb9fcd1fce9
[2426345000] ID:172 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc68fce1fdbafc99fcb9fcc1
[2426355000] ID:173 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc58fcf1fe0afc78fc99fc99
[2426365000] ID:174 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fd01fe32fc70fc91fca1
[2426375000] ID:175 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc58fd09fe32fc81fc99fcb9
[2426385000] ID:176 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc68fcf1fe02fca9fcc9fcf1
[2426395000] ID:177 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fcb9fd71fca9fcd9fd01
[2426405000] ID:178 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc28fca1fd31fc91fcc1fce1
[2426415000] ID:179 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fcc1fdaafca9fcd9fcf1
[2426425000] ID:180 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc89fd31fe6afca9fcd9fcf1
[2426435000] ID:181 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc68fd11fe52fce1fd09fd21
[2426445000] ID:182 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fcf1fe3afd19fd31fd59
[2426455000] ID:183 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc81fd41fea3fd09fd21fd49
[2426465000] ID:184 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc58fd19fe62fd01fd29fd49
[2426475000] ID:185 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc60fd29fe6afd39fd69fd8a
