[2428865000] ID:142 | Stg:1 | Loc:0 | Lic:0 | Data:0000000d010605fe076d000006c406f60b2002b3047f03b50000000000000185
[2428875000] ID:143 | Stg:1 | Loc:0 | Lic:0 | Data:00000000011f051407830000072506c20ac103cb046402dc00000000000001c9
[2428885000] ID:144 | Stg:1 | Loc:0 | Lic:0 | Data:00000000012404ac075c00000749067e0a68045b0454025200000000000001ca
[2428895000] ID:145 | Stg:1 | Loc:0 | Lic:0 | Data:00000000016904a607ac0000074d06970a69049b0451024100000000000001d1
[2428905000] ID:146 | Stg:1 | Loc:0 | Lic:0 | Data:0000000001ac0477080500000765069a0a5f05320456020a0000000000000208
[2428915000] ID:147 | Stg:1 | Loc:0 | Lic:0 | Data:00000000019703de0805000007a706460a24063f04630174000000000000023d
[2428925000] ID:148 | Stg:1 | Loc:0 | Lic:0 | Data:000000000157038707a3000007c505dc09da06c6046a01010000000000000288
[2428935000] ID:149 | Stg:1 | Loc:0 | Lic:0 | Data:00000000015d03620794000007d105d709be06cf045a00da0000000000000293
[2428945000] ID:150 | Stg:1 | Loc:0 | Lic:0 | Data:00000000017a03430797000007da05de09a006d4044400b1000000000000029a
[2428955000] ID:151 | Stg:1 | Loc:0 | Lic:0 | Data:0000000001fe02f707c2000007ed06390956067503e5005c00000000000002a0
[2428965000] ID:152 | Stg:1 | Loc:0 | Lic:0 | Data:0064000001b401f206ff00000848063c08c905ee036a0000000000000000028d
[2428975000] ID:153 | Stg:1 | Loc:0 | Lic:0 | Data:027600000111007904c6000008a1050506f0060b02c10000000000000000028b
[2428985000] ID:154 | Stg:1 | Loc:0 | Lic:0 | Data:04570000017800000407012f092404d90581063501e10000000000000000025e
[2428995000] ID:155 | Stg:1 | Loc:0 | Lic:0 | Data:0569000001eb00000396022c096c0512049a059f01210000000000000000026b
[2429005000] ID:156 | Stg:1 | Loc:0 | Lic:0 | Data:05c30000023400000369028f09850564043d04e200ae0000000000000000025b
[2429015000] ID:157 | Stg:1 | Loc:0 | Lic:0 | Data:05ce000002460000035f029709840577042c04b000970000000000000000025b
[2429025000] ID:158 | Stg:1 | Loc:0 | Lic:0 | Data:05c9000002130000032d029609840557042d04ad00a40000000000000000026f
[2429035000] ID:159 | Stg:1 | Loc:0 | Lic:0 | Data:05a5000002150000034b0281097f056a044d04a600af00000000000000000273
[2429045000] ID:160 | Stg:1 | Loc:0 | Lic:0 | Data:05400000023f000003ac02230961059f049a048b00cb00000000000000000272
[2429055000] ID:161 | Stg:1 | Loc:0 | Lic:0 | Data:0549000001d10000033b01f6094c0512048604fb010b00000000000000000275
[2429065000] ID:162 | Stg:1 | Loc:0 | Lic:0 | Data:048a000001f9000003ea016b09280576052804d901460000000000000000026d
[2429075000] ID:163 | Stg:1 | Loc:0 | Lic:0 | Data:03bd000001be0000043900cd08fb059105ca04bd01a100000000000000000244
[2429085000] ID:164 | Stg:1 | Loc:0 | Lic:0 | Data:0293000001fd002a0523000008af062406af045201f3000000000000000001fa
[2429095000] ID:165 | Stg:1 | Loc:0 | Lic:0 | Data:025c000001a2006c04d10000089405ec06c5042c0219000000000000000001c1
[2429105000] ID:166 | Stg:1 | Loc:0 | Lic:0 | Data:03760001014400000417008c08ea053a0608051e01f70000000000000000017e
[2429115000] ID:167 | Stg:1 | Loc:0 | Lic:0 | Data:042f000c01c900000442012c091f055c058d0569019e0000000000000000017f
[2429125000] ID:168 | Stg:1 | Loc:0 | Lic:0 | Data:0483002401bc000003fa019409410564054a0528016400000000000000000140
[2429135000] ID:169 | Stg:1 | Loc:0 | Lic:0 | Data:044e005e02700000048c0149091d05f405590497012c0000000000000000010c
[2429145000] ID:170 | Stg:1 | Loc:0 | Lic:0 | Data:052f005d01ce0000033301d20938051d048304b201020000000000000000011b
[2429155000] ID:171 | Stg:1 | Loc:0 | Lic:0 | Data:05be002602200000032902570963053c041b04ad00ae0000000000000000017d
[2429165000] ID:172 | Stg:1 | Loc:0 | Lic:0 | Data:05730000020100000356024a096b0562046b049f00c9000000000000000001ab
[2429175000] ID:173 | Stg:1 | Loc:0 | Lic:0 | Data:04fc000001e7000003b10200095f057604e004d8010e000000000000000001e3
[2429185000] ID:174 | Stg:1 | Loc:0 | Lic:0 | Data:04af000001d4000003d501a40940055d051b050d0148000000000000000001f1
[2429195000] ID:175 | Stg:1 | Loc:0 | Lic:0 | Data:049200000210000004080159091f056605220516015300000000000000000205
[2429205000] ID:176 | Stg:1 | Loc:0 | Lic:0 | Data:04d30000020c000003c301830926054f04e104f70131000000000000000001f8
[2429215000] ID:177 | Stg:1 | Loc:0 | Lic:0 | Data:0566000002120000037702320964055d047c04d200dc00000000000000000215
[2429225000] ID:178 | Stg:1 | Loc:0 | Lic:0 | Data:05e3000002200000033d02c209970568042504ba009500000000000000000258
[2429235000] ID:179 | Stg:1 | Loc:0 | Lic:0 | Data:05b1000001e70000034602a80995054e045a04f300c500000000000000000231
[2429245000] ID:180 | Stg:1 | Loc:0 | Lic:0 | Data:0480000001d10000040d01b2095105920557050001500000000000000000021b
[2429255000] ID:181 | Stg:1 | Loc:0 | Lic:0 | Data:0432000001a900000419016a09390586058f0500017b0000000000000000019a
[2429265000] ID:182 | Stg:1 | Loc:0 | Lic:0 | Data:049c0050010a0000032401620923049a0515057e01a8000000000000000000fe
[2429275000] ID:183 | Stg:1 | Loc:0 | Lic:0 | Data:03fd006802120000046c00c308ec057a058f052001990000000000000000010a
